"","A1_1","A1_2","A1_3","B1_1","B1_2","B1_3","C1_1","C1_2","C1_3"
"Glyma.01G024400.Wm82.a2.v1",0,0,0,1,1,0,0,1,1
"Glyma.01G024500.Wm82.a2.v1",0,6,12,28,21,8,11,2,15
"Glyma.01G024600.Wm82.a2.v1",501,350,334,483,495,451,679,506,365
"Glyma.01G024700.Wm82.a2.v1",404,175,300,132,120,123,160,147,109
"Glyma.01G024800.Wm82.a2.v1",11,11,6,0,0,0,2,0,0
"Glyma.01G024900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G025000.Wm82.a2.v1",550,517,413,252,224,248,203,138,136
"Glyma.01G025100.Wm82.a2.v1",4509,5517,4132,2610,2365,1666,1953,975,1383
"Glyma.01G025200.Wm82.a2.v1",211,215,252,39,55,23,14,3,25
"Glyma.01G025300.Wm82.a2.v1",8,25,20,16,6,3,16,9,32
"Glyma.01G025400.Wm82.a2.v1",0,0,12,0,0,0,12,6,0
"Glyma.01G025500.Wm82.a2.v1",613,300,376,156,148,51,17,14,9
"Glyma.01G025600.Wm82.a2.v1",345,337,317,237,222,136,152,82,120
"Glyma.01G025700.Wm82.a2.v1",10,8,9,0,0,0,0,0,0
"Glyma.01G025800.Wm82.a2.v1",562,415,351,97,139,48,51,25,48
"Glyma.01G025900.Wm82.a2.v1",0,0,6,0,0,0,0,0,0
"Glyma.01G026000.Wm82.a2.v1",277,182,316,366,281,177,271,241,178
"Glyma.01G026100.Wm82.a2.v1",5220,5278,4099,3143,3719,3395,2226,2007,2070
"Glyma.01G026200.Wm82.a2.v1",60,92,29,106,63,114,14,9,26
"Glyma.01G026300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G026400.Wm82.a2.v1",266,312,258,275,268,179,208,125,144
"Glyma.01G026500.Wm82.a2.v1",349,190,218,186,182,226,208,176,123
"Glyma.01G026600.Wm82.a2.v1",22,8,3,0,6,7,1,0,0
"Glyma.01G026700.Wm82.a2.v1",954,708,867,738,662,721,564,409,396
"Glyma.01G026800.Wm82.a2.v1",1122,1063,1004,947,806,613,263,217,163
"Glyma.01G026900.Wm82.a2.v1",42,10,29,5,9,12,3,0,6
"Glyma.01G027000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G027100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G027200.Wm82.a2.v1",1,0,0,0,0,0,0,0,0
"Glyma.01G027300.Wm82.a2.v1",629,307,581,501,342,418,358,372,360
"Glyma.01G027400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G027500.Wm82.a2.v1",112,74,76,41,79,48,101,39,7
"Glyma.01G027600.Wm82.a2.v1",44,20,26,71,100,77,23,13,26
"Glyma.01G027700.Wm82.a2.v1",449,184,414,285,337,273,392,286,274
"Glyma.01G027800.Wm82.a2.v1",219,221,159,130,130,192,126,128,39
"Glyma.01G027900.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G028000.Wm82.a2.v1",69,70,50,53,46,20,54,43,20
"Glyma.01G028100.Wm82.a2.v1",13,8,3,6,8,2,17,14,3
"Glyma.01G028200.Wm82.a2.v1",60,81,42,76,79,75,21,44,32
"Glyma.01G028300.Wm82.a2.v1",17,4,19,12,15,28,0,0,12
"Glyma.01G028400.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G028500.Wm82.a2.v1",12,41,18,1,11,9,3,7,4
"Glyma.01G028600.Wm82.a2.v1",99,75,97,59,62,42,79,76,69
"Glyma.01G028700.Wm82.a2.v1",902,587,694,1101,1053,770,619,430,507
"Glyma.01G028800.Wm82.a2.v1",138,73,114,35,59,39,31,28,10
"Glyma.01G028900.Wm82.a2.v1",1452,1065,1115,822,810,696,623,594,454
"Glyma.01G029000.Wm82.a2.v1",733,463,640,465,511,444,396,272,283
"Glyma.01G029100.Wm82.a2.v1",183,127,123,180,195,169,121,137,103
"Glyma.01G029200.Wm82.a2.v1",10369,10552,8811,10176,8750,10446,4894,3817,4533
"Glyma.01G029300.Wm82.a2.v1",0,0,0,5,10,2,0,0,7
"Glyma.01G029400.Wm82.a2.v1",393,319,344,212,313,200,143,110,151
"Glyma.01G029500.Wm82.a2.v1",94,83,90,185,88,158,139,130,132
"Glyma.01G029600.Wm82.a2.v1",1239,853,964,984,838,745,786,666,542
"Glyma.01G029700.Wm82.a2.v1",57,38,27,49,27,40,11,21,12
"Glyma.01G029800.Wm82.a2.v1",2913,2865,2355,1978,2011,1487,1762,1388,1132
"Glyma.01G029900.Wm82.a2.v1",36,30,29,10,1,19,8,13,10
"Glyma.01G030000.Wm82.a2.v1",131,100,103,78,80,38,9,7,25
"Glyma.01G030100.Wm82.a2.v1",0,0,1,0,0,0,1,0,0
"Glyma.01G030200.Wm82.a2.v1",4,0,0,0,0,0,0,0,0
"Glyma.01G030300.Wm82.a2.v1",77,82,177,41,40,19,49,22,15
"Glyma.01G030400.Wm82.a2.v1",61,26,56,25,60,66,46,25,12
"Glyma.01G030500.Wm82.a2.v1",207,107,89,53,111,107,168,105,23
"Glyma.01G030600.Wm82.a2.v1",992,606,825,787,868,755,679,587,558
"Glyma.01G030700.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G030800.Wm82.a2.v1",1459,1065,1118,954,1117,727,479,486,459
"Glyma.01G030900.Wm82.a2.v1",1397,787,1121,489,590,223,359,309,199
"Glyma.01G031000.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G031100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G031200.Wm82.a2.v1",99,82,78,17,29,54,33,17,15
"Glyma.01G031300.Wm82.a2.v1",779,410,871,143,98,56,18,23,33
"Glyma.01G031400.Wm82.a2.v1",4230,3248,3695,2941,2133,2496,1239,1095,891
"Glyma.01G031500.Wm82.a2.v1",52,19,34,12,34,60,80,66,13
"Glyma.01G031600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G031700.Wm82.a2.v1",687,360,447,682,614,580,626,538,489
"Glyma.01G031800.Wm82.a2.v1",156,117,95,149,124,122,112,98,87
"Glyma.01G031900.Wm82.a2.v1",99,27,90,59,94,45,25,22,15
"Glyma.01G032000.Wm82.a2.v1",630,301,539,178,171,143,103,105,76
"Glyma.01G032100.Wm82.a2.v1",550,238,456,395,350,383,430,373,214
"Glyma.01G032200.Wm82.a2.v1",122,123,163,135,133,126,71,52,67
"Glyma.01G032300.Wm82.a2.v1",19,16,14,22,31,20,7,4,5
"Glyma.01G032400.Wm82.a2.v1",0,0,0,0,0,0,23,1,0
"Glyma.01G032500.Wm82.a2.v1",2844,1002,2317,2756,2325,2681,2297,1858,1768
"Glyma.01G032600.Wm82.a2.v1",248,188,193,73,131,211,72,202,413
"Glyma.01G032700.Wm82.a2.v1",0,0,0,0,0,0,0,1,5
"Glyma.01G032800.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G032900.Wm82.a2.v1",5,10,24,22,21,21,41,27,30
"Glyma.01G033000.Wm82.a2.v1",20,51,29,31,64,49,18,36,53
"Glyma.01G033100.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G033200.Wm82.a2.v1",29,38,6,22,40,32,84,94,61
"Glyma.01G033300.Wm82.a2.v1",34,26,28,57,79,74,157,133,48
"Glyma.01G033400.Wm82.a2.v1",3,10,14,17,15,17,19,7,20
"Glyma.01G033500.Wm82.a2.v1",104,128,71,126,266,215,362,269,62
"Glyma.01G033600.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G033700.Wm82.a2.v1",62,8,70,31,42,59,47,34,32
"Glyma.01G033800.Wm82.a2.v1",84,77,95,22,55,37,165,86,4
"Glyma.01G033900.Wm82.a2.v1",62,84,40,18,50,27,96,79,4
"Glyma.01G034000.Wm82.a2.v1",6,0,0,0,0,0,0,0,0
