,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
Glyma.13G099000,8.83614678,-2.180522713,0.580144169,-3.758587659,0.000170875,0.010919012,FDR < 0.05
Glyma.13G199500,158.9592087,2.1791773,0.60462556,3.604176608,0.000313144,0.016737259,FDR < 0.05
Glyma.11G121800,62.65500742,2.177447152,0.439814009,4.950836283,7.39E-07,0.000206984,FDR < 0.05
Glyma.08G147600,12.99656291,2.17417698,0.60001912,3.623512831,0.000290629,0.01595607,FDR < 0.05
Glyma.10G158300,71.79839072,2.158780174,0.235301166,9.174540926,4.54E-20,2.11E-16,FDR < 0.05
Glyma.07G137300,9.055668936,-2.146218834,0.661099173,-3.246440054,0.001168581,0.042952728,FDR < 0.05
Glyma.04G020400,38.72260278,2.126252693,0.452899156,4.694759669,2.67E-06,0.000499691,FDR < 0.05
Glyma.10G185900,232.5015926,2.122613109,0.528353057,4.017414266,5.88E-05,0.005085926,FDR < 0.05
Glyma.08G312000,42.07562416,-2.116109826,0.380316104,-5.56408157,2.64E-08,1.64E-05,FDR < 0.05
Glyma.12G092800,15.49709805,-2.114649633,0.591754558,-3.573524875,0.000352208,0.018376958,FDR < 0.05
Glyma.05G236000,231.4161185,2.108447616,0.127403067,16.54942584,1.62E-61,3.01E-57,FDR < 0.05
Glyma.17G197300,448.0582675,2.106931629,0.202320185,10.4138479,2.14E-25,1.33E-21,FDR < 0.05
Glyma.18G214700,66.76773689,2.093266053,0.388211462,5.392076888,6.96E-08,3.24E-05,FDR < 0.05
Glyma.09G224200,28.94686477,2.092181868,0.41126103,5.08723588,3.63E-07,0.000118729,FDR < 0.05
Glyma.04G203500,54.46862285,2.090617627,0.414404082,5.044877015,4.54E-07,0.000139722,FDR < 0.05
Glyma.17G015500,263.2557033,2.090198743,0.508611778,4.109615297,3.96E-05,0.003875187,FDR < 0.05
Glyma.08G056100,72.06201101,2.089559194,0.603897865,3.460120189,0.000539934,0.025461663,FDR < 0.05
Glyma.03G239700,11474.75457,-2.077548779,0.494355839,-4.202537148,2.64E-05,0.002861135,FDR < 0.05
Glyma.17G234000,18.63859696,-2.054100833,0.531633744,-3.863751796,0.000111659,0.007999486,FDR < 0.05
Glyma.11G151000,13.73279451,-2.050025514,0.569288221,-3.601032727,0.000316956,0.016844318,FDR < 0.05
Glyma.10G195700,239.9835398,2.020589587,0.573450115,3.523566451,0.00042578,0.021262761,FDR < 0.05
Glyma.05G211500,12.8285847,-2.000961697,0.454742236,-4.400210797,1.08E-05,0.001492171,FDR < 0.05
Glyma.02G245700,61.91384834,1.995182267,0.426528059,4.677728051,2.90E-06,0.000529721,FDR < 0.05
Glyma.02G146400,95.43355314,1.988778905,0.551304227,3.607407323,0.000309272,0.016577867,FDR < 0.05
Glyma.11G022600,39.88086275,-1.985941645,0.463522589,-4.284454939,1.83E-05,0.002201444,FDR < 0.05
Glyma.09G238200,109.314516,1.96372223,0.389777473,5.038059836,4.70E-07,0.000142436,FDR < 0.05
Glyma.12G077900,14.04471649,1.954461412,0.539910511,3.61997289,0.000294634,0.016141604,FDR < 0.05
Glyma.13G321900,12.18853589,-1.952779672,0.52977919,-3.68602563,0.000227783,0.013561548,FDR < 0.05
Glyma.18G018200,76.42922037,1.950843277,0.454181373,4.29529565,1.74E-05,0.002145003,FDR < 0.05
Glyma.08G007400,16.967208,-1.947015977,0.563341237,-3.45619289,0.000547863,0.025737822,FDR < 0.05
Glyma.18G117800,21.51865792,1.945163371,0.575203343,3.381696919,0.000720396,0.031157401,FDR < 0.05
Glyma.17G071300,81.8264675,1.941327597,0.434346621,4.469535401,7.84E-06,0.001145227,FDR < 0.05
Glyma.02G213700,14.61084001,-1.935270248,0.579592595,-3.339018244,0.00084075,0.034347582,FDR < 0.05
Glyma.19G123400,22.67275303,-1.933513274,0.398647261,-4.850185768,1.23E-06,0.000298385,FDR < 0.05
Glyma.15G077000,54.57515941,1.919346981,0.491645292,3.903926291,9.46E-05,0.00718104,FDR < 0.05
Glyma.12G119900,52.62702388,1.919340748,0.410681399,4.673551694,2.96E-06,0.000535364,FDR < 0.05
Glyma.18G138400,86.12506679,1.91120756,0.463309903,4.125117008,3.71E-05,0.003741012,FDR < 0.05
Glyma.10G185100,10.81527246,-1.908046762,0.547889751,-3.482537787,0.000496685,0.023844726,FDR < 0.05
Glyma.15G064100,48.54452995,1.899575709,0.481675398,3.943684307,8.02E-05,0.006360072,FDR < 0.05
